ECal_Offset_Factor_err:	0.166713	0.0101604	7.93287e-05
WCal_Offset_Factor_err:	0.018467	0.00207751	2.57964e-05

#EastData EastDataErr    WestData WestDataErr     EastSim  EastSimErr     WestSim  WestSimErr
380.554    1.626026    1922.714     43.0596    4.038464   0.0138031    4.012051  0.01367301
298.303    1.202237     1524.58    11.25135    3.183233 0.009643825    3.202617 0.009325598
253.2595   0.9854005    1309.425    6.574151    2.750337 0.007849848    2.746895 0.007778091
226.3472    0.852637    1187.123    5.195549    2.455354 0.006745389     2.46246 0.006973443
207.1336    0.795568    1087.599    4.174492    2.288323  0.00651239    2.277663 0.006425311
195.9673   0.7757721    1021.946    3.797771    2.141189 0.006382791    2.147839 0.006213001
186.6747   0.7956483    975.1132    3.673065    2.078273 0.006332037    2.049787 0.006338352
178.7081   0.8141955    944.1534    3.786748    1.985382 0.006702373    1.976278 0.006645298
173.3043   0.8893755    914.6006    4.070861    1.924309 0.007352255    1.912133 0.007154835
168.8832   0.9933414    897.7196    4.600762    1.876831  0.00860156    1.874604 0.008318133
165.3051    1.211407     875.539    5.297499     1.84807  0.01031196    1.858129  0.01017632
164.5489     1.43653    861.6395    6.964825    1.833041  0.01343215    1.815857  0.01362095
160.9548    1.996613    858.5332    10.71389    1.789616  0.01941345    1.797362  0.01989873
157.2009    3.435399    867.8605    22.01783    1.746448  0.03700287     1.80962  0.03914088
