ECal_Offset_Factor_err:	0.112328	0.00960982	0.000107516
WCal_Offset_Factor_err:	-0.0204354	0.00902799	9.19389e-05

#EastData EastDataErr    WestData WestDataErr     EastSim  EastSimErr     WestSim  WestSimErr
408.6458    2.465164    439.5553     2.17939    4.059538  0.01994728    4.046002  0.01960947
324.8192    1.781734     359.625    1.655711    3.179195  0.01383072    3.203762  0.01373488
271.3944    1.422263    310.3204     1.31889    2.753873  0.01148841    2.743487  0.01083743
244.4946    1.280387    276.4555    1.168512     2.47385 0.009972135    2.471556  0.01004492
225.6457    1.236521    257.0793    1.132558    2.278022 0.009146012    2.274789 0.008914191
214.8407    1.205354    240.1068    1.094191    2.168851 0.009103592    2.151372 0.009125896
203.3558    1.222595    232.3875    1.117256    2.076292 0.009252434    2.066082 0.009014906
196.0921     1.26931    222.2233    1.219607    1.974038 0.009540843    1.982808 0.009698667
189.9564    1.376026       213.9    1.263247    1.941319  0.01070779     1.94593  0.01048398
185.4959    1.503548    207.9083     1.42349    1.906365  0.01197864    1.878083  0.01219739
178.4204    1.902328    205.8336    1.753823    1.833647  0.01460873    1.867557  0.01404337
179.898    2.440052     201.143    2.112842    1.808298  0.01893379    1.819146  0.01906136
171.1534    3.604146    199.9797     3.68003    1.777632  0.02907463    1.758351  0.03064558
177.4264    6.985787    201.3327    5.991242    1.870588  0.04486452    1.674717  0.06434438
