ECal_Offset_Factor_err:	0.0763257	0.00924207	6.16023e-05
WCal_Offset_Factor_err:	-0.0196483	0.00792624	4.82705e-05

#EastData EastDataErr    WestData WestDataErr     EastSim  EastSimErr     WestSim  WestSimErr
428.093    1.526059    497.2877    1.468858    4.055677  0.01202827    4.026044  0.01184474
337.1071    1.097323    407.8908    1.111996    3.181026 0.008226947     3.18236 0.008056021
290.5117   0.9140361    351.5898     0.94309     2.75437 0.006724333    2.743349 0.006750238
260.4663   0.8154734    316.8434    0.837267     2.47376 0.006024896    2.465675 0.005985116
239.4821   0.7736229    292.3372   0.7759892    2.286503  0.00561292    2.285114 0.005579145
223.8082   0.7518936    275.7171   0.7621139    2.162771 0.005477387    2.153376 0.005534107
215.2971    0.767494    261.4026   0.7689837     2.06487 0.005575475    2.062403 0.005439486
206.0548   0.7983859    250.9525   0.7697747    1.983751 0.005876228    1.986021 0.005948391
201.4897   0.8535738    245.9915   0.8431761    1.939404 0.006426621    1.922156 0.006174566
194.2202   0.9529183    237.6281   0.9391652    1.871471 0.007398784    1.884164 0.007061105
190.0342    1.133037    232.5798    1.103478    1.841277 0.009047983      1.8358 0.008852216
190.6453    1.474229    229.3307    1.369476    1.809393  0.01153063    1.814394  0.01139873
187.0899    2.138063    225.2735    1.894834     1.79738  0.01747084    1.808881  0.01681958
182.9386    3.430597    224.5849    3.038788    1.762973  0.03146006    1.857945  0.03175841
