ECal_Offset_Factor_err:	0.164263	0.0103165	7.61694e-05
WCal_Offset_Factor_err:	-0.114014	0.00256198	2.43358e-05

#EastData EastDataErr    WestData WestDataErr     EastSim  EastSimErr     WestSim  WestSimErr
377.0743    1.547069    1590.373    14.10204    4.071355  0.01320149    4.054191  0.01348724
294.0754    1.080126    1284.967    5.992456    3.192578  0.00916977    3.172464 0.009025147
251.6572   0.8920194    1118.341    4.160726    2.743227 0.007538793    2.739311 0.007482097
223.4606   0.8019945    1008.299    3.387039    2.467944 0.006681258    2.469186 0.006615491
205.7715   0.7426207    936.9749    3.060073    2.298508 0.006315988    2.284932 0.006262403
192.8747   0.7185939    887.0449    2.845318    2.153023 0.006085231    2.142189 0.005953664
184.3582   0.7597436     844.514    2.805215    2.067428 0.006181737    2.055622 0.006248621
176.1816   0.7877099    816.2924    2.980739    1.990249 0.006517948     1.97272 0.006443232
172.1101   0.8225111    793.8295     3.25188    1.936998  0.00709889     1.92586 0.006938053
166.8583    0.959394     775.455    3.521126    1.901493 0.008011977     1.88558  0.00797172
164.9957    1.086052    762.9532    4.530013    1.834909 0.009652544    1.839896 0.009584676
159.4097    1.465759    746.6631    6.082381    1.830879  0.01272656    1.804669  0.01249808
158.3228    2.025622    729.1968    9.141137     1.78308  0.02006852    1.797477  0.01887998
162.3595    3.701816    732.3928    15.92064     1.73232  0.03368965    1.778041  0.03553236
