ECal_Offset_Factor_err:	0.142531	0.00983106	0.000115121
WCal_Offset_Factor_err:	-0.0326179	0.00864703	9.29081e-05

#EastData EastDataErr    WestData WestDataErr     EastSim  EastSimErr     WestSim  WestSimErr
395.4871    2.556373    462.9889     2.44278    4.020708  0.02124675    4.027516  0.02018447
309.031     1.76317    371.8002    1.752771    3.193589  0.01460616    3.178328  0.01417431
263.4773    1.439329    327.2193    1.525183    2.731011  0.01166864    2.750923  0.01153929
237.3552    1.266019    291.4493    1.368056    2.465107  0.01045785    2.487021  0.01025003
218.2441    1.223793    267.4607    1.253952    2.293372 0.009644407    2.279185 0.009520751
204.6716    1.178089    252.1043    1.212828    2.156343 0.009579017    2.152279 0.009582794
195.5276    1.178628    240.7435    1.264642    2.068077 0.009537386    2.045927  0.00980433
186.8352    1.309937    231.8008    1.323223    1.993088  0.01010063    1.985848  0.01001921
183.9119    1.326744    225.8584     1.44615    1.923947  0.01078499    1.909829  0.01079908
176.1275    1.514618    222.7993     1.67685    1.888698  0.01221279    1.878627  0.01277778
174.9455     1.85077    213.2949    2.001936    1.858404  0.01536648    1.877604  0.01478833
166.9634    2.397655    213.9224    2.731488    1.806143  0.01890072    1.831684  0.02009422
171.833    3.052537    208.7867     3.87691    1.764609  0.02957868    1.735967  0.02984774
170.3083    5.379593    217.5226    7.116309    1.860298  0.04569404    1.739713  0.05622338
