#cathEX_trigg	cathEX_clip	cathEY_trigg	cathEY_clip	cathWX_trigg	cathWX_clip	cathWY_trigg	cathWY_clip
0.06		3.7		0.09		4.2		0.07		4		0.08		4.3
0.06		3.8		0.1		4.5		0.06		3.5		0.09		4.9
0.06		3.2		0.1		5		0.07		2.9		0.09		4.8
0.06		3.2		0.11		4.3		0.08		3		0.1		4.1
0.06		3.7		0.11		3.9		0.08		3.3		0.11		3.7
0.06		3.8		0.11		4.3		0.08		4.1		0.09		3.9
0.07		4.1		0.11		4.5		0.08		4.4		0.09		3.9
0.08		4.3		0.12		5.3		0.09		4.8		0.09		3.5
0.09		4.4		0.11		4.8		0.1		5		0.1		3.7
0.08		4.8		0.1		4.3		0.1		5.9		0.09		3.5
0.09		5		0.1		5.5		0.11		5.4		0.09		3.5
0.1		5.2		0.1		4.1		0.11		4.7		0.09		3.9
0.11		5.2		0.08		4.4		0.11		5.5		0.1		4.1
0.12		5.7		0.09		4.9		0.1		5.9		0.11		5.1
0.12		7.3		0.1		4.8		0.11		6.4		0.11		6.5
0.14		8.9		0.09		5.7		0.15		6.9		0.11		4.1
