#cathEX_trigg	cathEX_clip	cathEY_trigg	cathEY_clip	cathWX_trigg	cathWX_clip	cathWY_trigg	cathWY_clip
0.06		3.9		0.11		4.4		0.07		4.7		0.1		3.3
0.06		3.4		0.13		5.4		0.06		3.4		0.1		4.5
0.05		3.1		0.13		4.8		0.07		2.8		0.09		4.2
0.06		3.3		0.12		4.6		0.08		3.2		0.1		3.9
0.07		3.7		0.12		4.4		0.08		3.7		0.1		4
0.07		3.9		0.11		5		0.08		3.9		0.09		3.5
0.07		4.2		0.11		4.8		0.08		4.2		0.08		3.7
0.08		4.7		0.12		4.4		0.1		4.6		0.09		3.6
0.09		4.9		0.11		4.7		0.1		4.6		0.1		3.5
0.09		4.9		0.09		4.7		0.1		5		0.09		3.6
0.1		5.3		0.1		5.7		0.1		5.3		0.09		3.6
0.11		5.8		0.1		4.2		0.1		5		0.1		3.8
0.13		6		0.09		5.1		0.11		5.3		0.1		4.5
0.13		6.2		0.1		5.6		0.1		5.2		0.12		5.4
0.13		6.8		0.11		5.1		0.1		5.4		0.13		5.3
0.15		9		0.09		6.5		0.14		7.6		0.13		3.7
