#cathEX_trigg	cathEX_clip	cathEY_trigg	cathEY_clip	cathWX_trigg	cathWX_clip	cathWY_trigg	cathWY_clip
0.06		4.7		0.09		4.4		0.04		2.7		1.68		9
0.07		4.3		0.11		5.6		0.04		2.6		0.05		3.6
0.07		4.2		0.12		5.7		0.05		2.4		0.05		3.3
0.07		4.5		0.12		5.3		0.06		2.4		0.07		2.8
0.06		4.5		0.11		4.9		0.05		2.6		0.06		2.8
0.07		4.6		0.12		4.7		0.06		3		0.06		2.8
0.07		5.2		0.12		5.5		0.06		3.3		0.06		2.9
0.08		5.5		0.13		5.6		0.07		3.4		0.06		2.7
0.08		5.5		0.14		4.9		0.07		3.4		0.08		2.7
0.08		5.7		0.14		5.1		0.07		3.6		0.07		2.8
0.09		6		0.14		5.7		0.07		4.2		0.06		2.7
0.1		6.4		0.14		5.9		0.07		3.5		0.06		2.9
0.11		6		0.13		5.4		0.07		3.3		0.06		2.9
0.11		6.4		0.11		6.3		0.06		3.9		0.07		3.4
0.11		7.3		0.12		6.2		0.05		3.8		0.08		4.5
0.11		4.9		0.11		3.8		0.07		5.1		0.07		2.8
