#cathEX_trigg	cathEX_clip	cathEY_trigg	cathEY_clip	cathWX_trigg	cathWX_clip	cathWY_trigg	cathWY_clip
0.08		4.1		0.1		4.3		0.05		3.5		0.06		2.9
0.07		4.5		0.12		5.5		0.05		2.5		0.06		3.2
0.08		4.1		0.11		5.6		0.06		2.3		0.07		3.6
0.08		4		0.12		5.3		0.07		2.7		0.08		4
0.08		4.1		0.12		5		0.06		3		0.08		3.3
0.08		4.2		0.12		5.3		0.07		3.4		0.07		2.7
0.08		4.7		0.12		5.6		0.07		3.4		0.07		2.6
0.09		4.8		0.13		4.9		0.08		3.7		0.08		2.6
0.1		5.1		0.12		5		0.08		4		0.09		3
0.1		5.4		0.11		5.1		0.08		4.4		0.08		3
0.11		5.6		0.12		6.3		0.09		4.3		0.08		3
0.11		5.8		0.13		4.4		0.09		4.1		0.08		3.1
0.13		5.6		0.11		5.1		0.09		4.3		0.09		3.7
0.14		6.6		0.1		5.4		0.08		4		0.09		3.9
0.14		6.6		0.11		6.1		0.07		4.5		0.09		4.9
0.15		4.8		0.09		5.1		0.1		6.6		0.08		2.9
