#cathEX_trigg	cathEX_clip	cathEY_trigg	cathEY_clip	cathWX_trigg	cathWX_clip	cathWY_trigg	cathWY_clip
0.01		9		0.01		9		0.01		2.7		1.85		9
0.01		1.9		0.01		1.4		0.01		1.4		0.01		1.1
0.01		3.1		0.01		3.4		0.02		1.4		0.02		1.7
0.03		2.1		0.03		2.8		0.05		1.9		0.03		2.6
0.05		2.6		0.05		1.9		0.07		2.7		0.04		3.5
0.04		5.5		0.09		3.5		0.08		2.1		0.06		2.7
0.04		6.6		0.1		3.8		0.08		2.1		0.07		2
0.07		2.8		0.14		4.8		0.07		2.2		0.08		2.1
0.07		2.9		0.15		4		0.07		2		0.06		3.1
0.08		2.9		0.13		3.7		0.05		2.5		0.07		2.5
0.1		3.1		0.16		4		0.04		5.7		0.05		2
0.08		2.9		0.21		2.9		0.05		3.4		0.05		1.9
0.1		4.4		0.16		6		0.03		5.7		0.05		1.9
0.05		2.7		0.06		4.4		0.01		4		0.02		2.5
0.03		2.4		0.03		3		0.01		4.7		0.02		2.8
0.03		1.3		0.02		4.5		0.01		9		0.01		3
