#cathEX_trigg	cathEX_clip	cathEY_trigg	cathEY_clip	cathWX_trigg	cathWX_clip	cathWY_trigg	cathWY_clip
0.05		5.2		0.1		3.9		0.04		2.6		1.92		9
0.06		4.2		0.11		5.3		0.04		2.2		0.05		3.3
0.07		4.3		0.11		5.9		0.04		2.4		0.04		3.5
0.07		4.9		0.11		5.7		0.05		2.4		0.06		3
0.08		5.2		0.12		5.4		0.05		2.5		0.06		3
0.07		5.1		0.13		5.5		0.06		3		0.06		2.8
0.07		5		0.12		5.6		0.06		3.4		0.06		2.6
0.08		5.9		0.13		5.6		0.07		3.6		0.07		2.5
0.09		5.9		0.13		5.8		0.07		3.2		0.07		2.9
0.09		6.1		0.14		5.5		0.07		3.6		0.07		2.8
0.09		6.2		0.13		5.4		0.07		4.2		0.07		2.7
0.1		6.9		0.13		5.7		0.07		3.9		0.07		2.9
0.11		6.3		0.13		6		0.07		4		0.07		3
0.11		6.7		0.13		6.8		0.07		3.7		0.08		3.4
0.1		8		0.14		6.9		0.07		3.6		0.08		3.5
0.11		6.3		0.12		3.8		0.08		4.9		0.07		3.1
