-55  	-55  	0.25  	0.25
-55  	-50  	0.25  	0.25
-55  	-45  	0.25  	0.25
-55  	-40  	0.25  	0.25
-55  	-35  	0.25  	0.25
-55  	-30  	0.25  	0.25
-55  	-25  	0.25  	0.25
-55  	-20  	0.25  	0.25
-55  	-15  	0.5045947  	0.25
-55  	-10  	0.5261752  	0.6467867
-55  	-5  	0.6087534  	0.6500669
-55  	0  	0.567892  	0.5990757
-55  	5  	0.5841948  	0.5530979
-55  	10  	0.5453457  	0.6205296
-55  	15  	0.6949105  	1.64737
-55  	20  	0.25  	0.25
-55  	25  	0.25  	0.25
-55  	30  	0.25  	0.25
-55  	35  	0.25  	0.25
-55  	40  	0.25  	0.25
-55  	45  	0.25  	0.25
-55  	50  	0.25  	0.25
-55  	55  	0.25  	0.25
-50  	-55  	0.25  	0.25
-50  	-50  	0.25  	0.25
-50  	-45  	0.25  	0.25
-50  	-40  	0.25  	0.25
-50  	-35  	0.25  	0.25
-50  	-30  	0.4457377  	0.25
-50  	-25  	0.8093263  	1.090451
-50  	-20  	0.8712568  	1.070941
-50  	-15  	0.8389748  	1.133601
-50  	-10  	0.8760447  	1.115395
-50  	-5  	0.8588511  	1.102763
-50  	0  	0.8225143  	1.092183
-50  	5  	0.8574289  	0.9927672
-50  	10  	0.866327  	1.009111
-50  	15  	0.8955095  	1.050081
-50  	20  	0.8846988  	0.9483505
-50  	25  	0.8477891  	0.9145553
-50  	30  	0.25  	0.25
-50  	35  	0.25  	0.25
-50  	40  	0.25  	0.25
-50  	45  	0.25  	0.25
-50  	50  	0.25  	0.25
-50  	55  	0.25  	0.25
-45  	-55  	0.25  	0.25
-45  	-50  	0.25  	0.25
-45  	-45  	0.25  	0.25
-45  	-40  	0.25  	0.25
-45  	-35  	0.9097166  	0.8556742
-45  	-30  	0.8594541  	0.9958
-45  	-25  	0.9074215  	1.12432
-45  	-20  	0.9039559  	1.157122
-45  	-15  	0.8500698  	1.233
-45  	-10  	0.88509  	1.254802
-45  	-5  	0.8583309  	1.272002
